F1 cross,Female no.,No. of embryos,A,AB,B,WT,All A,A %,All B,B %,B+WT,Total,Notes
SDA-500x(2288:2073),,,,,,,,,,,,,
,1,88,0,4,0,0,4,100,4,100,0,4,
,2,87,38,33,0,1,71,98.61111111,33,45.83333333,1,72,
,3,75,32,29,0,0,61,100,29,47.54098361,0,61,
,4,94,43,43,0,1,86,98.85057471,43,49.42528736,1,87,
,5,145,57,57,5,5,114,91.93548387,62,50,10,124,
,6,0,-,-,-,-,-,-,-,-,-,-,Dead female
,7,183,36,29,3,3,174,99.42857143,87,49.71428571,6,175,
,8,158,88,86,1,0,18,100,7,38.88888889,1,18,
,9,163,11,7,0,0,140,100,68,48.57142857,0,140,
,10,0,-,-,-,-,-,-,-,-,-,-,Dead female
,11,158,72,68,0,0,140,100,68,48.57142857,0,140,
,12,98,26,36,0,1,62,98.41269841,36,57.14285714,1,63,
,13,0,-,-,-,-,-,-,-,-,-,-,Dead female
,14,193,66,34,0,0,100,100,34,34,0,100,
,15,97,46,42,0,0,88,100,42,47.72727273,0,88,
,16,131,53,48,0,0,101,100,48,47.52475248,0,101,
,17,0,-,-,-,-,-,-,-,-,-,-,
,18,143,77,58,0,1,135,99.26470588,58,42.64705882,1,136,
,19,77,38,19,0,0,57,100,19,33.33333333,0,57,
,20,78,37,24,1,0,61,98.38709677,25,40.32258065,1,62,
,21,60,21,28,0,1,49,98,28,56,1,50,
,22,157,52,56,13,11,108,81.81818182,69,52.27272727,24,132,
,23,160,4,8,1,0,12,92.30769231,9,69.23076923,1,13,
,24,75,16,19,9,8,35,67.30769231,28,53.84615385,17,52,
,25,83,40,35,1,1,75,97.4025974,36,46.75324675,2,77,
,26,105,55,46,0,0,101,100,46,45.54455446,0,101,
,27,116,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,28,94,44,44,2,0,88,97.77777778,46,51.11111111,2,90,
,29,78,42,32,0,0,74,100,32,43.24324324,0,74,
,30,119,38,35,1,1,73,97.33333333,36,48,2,75,
,31,88,44,36,0,0,80,100,36,45,0,80,
,32,122,55,35,0,0,90,100,35,38.88888889,0,90,
,33,114,58,46,0,2,104,98.11320755,46,43.39622642,2,106,
,34,0,-,-,-,-,-,-,-,-,-,-,
,35,82,37,29,1,0,66,98.50746269,30,44.7761194,1,67,
,36,40,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,37,168,90,68,0,0,158,100,68,43.03797468,0,158,
,38,0,-,-,-,-,-,-,-,-,-,-,
,39,70,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,,,,,,,,,,,,,
,,,,,,,,,,,,,
(2288:2073)xSDA-500,,,,,,,,,,,,,
,1,0,-,-,-,-,-,-,-,-,-,-,DNBF
,2,0,-,-,-,-,-,-,-,-,-,-,DNBF
,3,0,-,-,-,-,-,-,-,-,-,-,DNBF
,4,0,-,-,-,-,-,-,-,-,-,-,DNBF
,5,0,-,-,-,-,-,-,-,-,-,-,DNBF
,6,0,-,-,-,-,-,-,-,-,-,-,DNBF
,7,0,-,-,-,-,-,-,-,-,-,-,DNBF
,8,0,-,-,-,-,-,-,-,-,-,-,DNBF
,9,0,-,-,-,-,-,-,-,-,-,-,DNBF
,10,0,-,-,-,-,-,-,-,-,-,-,DNBF
,11,0,-,-,-,-,-,-,-,-,-,-,DNBF
,12,0,-,-,-,-,-,-,-,-,-,-,DNBF
,13,0,-,-,-,-,-,-,-,-,-,-,DNBF
,14,0,-,-,-,-,-,-,-,-,-,-,DNBF
,15,0,-,-,-,-,-,-,-,-,-,-,DNBF
,16,0,-,-,-,-,-,-,-,-,-,-,DNBF
,17,0,-,-,-,-,-,-,-,-,-,-,DNBF
,18,0,-,-,-,-,-,-,-,-,-,-,DNBF
,19,0,-,-,-,-,-,-,-,-,-,-,DNBF
,20,0,-,-,-,-,-,-,-,-,-,-,DNBF
,21,0,-,-,-,-,-,-,-,-,-,-,DNBF
,22,0,-,-,-,-,-,-,-,-,-,-,Dead female
,23,0,-,-,-,-,-,-,-,-,-,-,Dead female
,24,84,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,25,0,-,-,-,-,-,-,-,-,-,-,
,26,0,-,-,-,-,-,-,-,-,-,-,Dead female
,27,0,-,-,-,-,-,-,-,-,-,-,Dead female
,28,99,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,29,0,-,-,-,-,-,-,-,-,-,-,Dead female
,30,0,-,-,-,-,-,-,-,-,-,-,Dead female
,31,0,-,-,-,-,-,-,-,-,-,-,DNBF
,32,0,-,-,-,-,-,-,-,-,-,-,DNBF
,33,0,-,-,-,-,-,-,-,-,-,-,DNBF
,34,0,-,-,-,-,-,-,-,-,-,-,DNBF
,35,0,-,-,-,-,-,-,-,-,-,-,Dead female
,36,0,-,-,-,-,-,-,-,-,-,-,DNBF
,37,0,-,-,-,-,-,-,-,-,-,-,DNBF
,38,0,-,-,-,-,-,-,-,-,-,-,DNBF
,39,0,-,-,-,-,-,-,-,-,-,-,DNBF
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SDA-500x(2073:2288),,,,,,,,,,,,,
,1,100,46,45,1,0,91,98.91304348,46,50,1,92,
,2,85,41,40,0,0,81,100,40,49.38271605,0,81,
,3,131,63,52,0,0,115,100,52,45.2173913,0,115,
,4,188,95,84,0,1,179,99.44444444,84,46.66666667,1,180,
,5,95,46,43,0,0,89,100,43,48.31460674,0,89,
